MATRICULA,OBSERVACAO,RA,OS
12828904,MATRICULA INEXISTENTE EM CAMPO,5793159,4675114
12871915,MATRICULA INEXISTENTE EM CAMPO,5793160,4675115
12600563,DUPLICIDADE DE MATRICULA,5793161,4675116
9689613,MATRICULA INEXISTENTE EM CAMPO,5793162,4675117
1509217,MATRICULA INEXISTENTE EM CAMPO,5793163,4675118
11682841,DUPLICIDADE DE MATRICULA,5793164,4675119
9312633,DUPLICIDADE DE MATRICULA,5793165,4675120
2159589,MATRICULA INEXISTENTE EM CAMPO,5793166,4675121
3416763,DUPLICIDADE DE MATRICULA,5793167,4675122
2272326,DUPLICIDADE DE MATRICULA,5793168,4675123
11278811,MATRICULA INEXISTENTE EM CAMPO,5793169,4675124
1593153,MATRICULA INEXISTENTE EM CAMPO,5793171,4675126
622729,MATRICULA INEXISTENTE EM CAMPO,5793172,4675127
1613014,MATRICULA INEXISTENTE EM CAMPO,5793173,4675128
7376405,DUPLICIDADE DE MATRICULA,5793174,4675129
1673513,MATRICULA INEXISTENTE EM CAMPO,5793175,4675130
845728,DUPLICIDADE DE MATRICULA,5793176,4675131
846198,DUPLICIDADE DE MATRICULA,5793178,4675132
4951891,MATRICULA INEXISTENTE EM CAMPO,5793179,4675133
834114,DUPLICIDADE DE MATRICULA,5793180,4675134
10427597,DUPLICIDADE DE MATRICULA,5793181,4675135
830097,DUPLICIDADE DE MATRICULA,5793182,4675136
2172399,MATRICULA INEXISTENTE EM CAMPO,5793184,4675137
2172712,MATRICULA INEXISTENTE EM CAMPO,5793185,4675138
3954617,DUPLICIDADE DE MATRICULA,5793186,4675139
825450,MATRICULA INEXISTENTE EM CAMPO,5793187,4675140
825433,DUPLICIDADE DE MATRICULA,5793188,4675141
11820926,DUPLICIDADE DE MATRICULA,5793189,4675142
4526465,MATRICULA INEXISTENTE EM CAMPO,5793190,4675143
13431480,DUPLICIDADE DE MATRICULA,5793191,4675144
13431749,DUPLICIDADE DE MATRICULA,5793192,4675146
13431820,DUPLICIDADE DE MATRICULA,5793193,4675147
11962224,MATRICULA INEXISTENTE EM CAMPO,5793194,4675148
11962216,DUPLICIDADE DE MATRICULA,5793195,4675149
1962710,DUPLICIDADE DE MATRICULA,5793196,4675150
4529863,DUPLICIDADE DE MATRICULA,5793197,4675151
750727,DUPLICIDADE DE MATRICULA,5793198,4675152
774480,DUPLICIDADE DE MATRICULA,5793199,4675153
3574873,MATRICULA INEXISTENTE EM CAMPO,5793200,4675154
3924246,MATRICULA INEXISTENTE EM CAMPO,5793201,4675155
770833,MATRICULA INEXISTENTE EM CAMPO,5793202,4675156
1967070,DUPLICIDADE DE MATRICULA,5793203,4675157
772364,DUPLICIDADE DE MATRICULA,5793206,4675160
776521,MATRICULA INEXISTENTE EM CAMPO,5793207,4675161
778710,DUPLICIDADE DE MATRICULA,5793209,4675162
775932,DUPLICIDADE DE MATRICULA,5793210,4675163
1998692,MATRICULA INEXISTENTE EM CAMPO,5793211,4675164
12920061,MATRICULA INEXISTENTE EM CAMPO,5793212,4675165
783528,DUPLICIDADE DE MATRICULA,5793213,4675166
811785,DUPLICIDADE DE MATRICULA,5793215,4675168
813460,MATRICULA INEXISTENTE EM CAMPO,5793216,4675169
7418426,MATRICULA INEXISTENTE EM CAMPO,5793218,4675170
812960,DUPLICIDADE DE MATRICULA,5793219,4675171
820610,MATRICULA INEXISTENTE EM CAMPO,5793220,4675172
814164,MATRICULA INEXISTENTE EM CAMPO,5793221,4675173
13228390,MATRICULA INEXISTENTE EM CAMPO,5793223,4675175
817309,MATRICULA INEXISTENTE EM CAMPO,5793224,4675176
808474,MATRICULA INEXISTENTE EM CAMPO,5793225,4675177
818836,DUPLICIDADE DE MATRICULA,5793226,4675178
12680451,DUPLICIDADE DE MATRICULA,5793227,4675179
9694927,DUPLICIDADE DE MATRICULA,5793228,4675180
12211044,DUPLICIDADE DE MATRICULA,5793229,4675181
12330132,DUPLICIDADE DE MATRICULA,5793231,4675183
2855208,DUPLICIDADE DE MATRICULA,5793233,4675185
4392655,DUPLICIDADE DE MATRICULA,5793234,4675186
11068540,DUPLICIDADE DE MATRICULA,5793235,4675187
7354380,DUPLICIDADE DE MATRICULA,5793236,4675188
11201444,MATRICULA INEXISTENTE EM CAMPO,5793237,4675189
779253,MATRICULA INEXISTENTE EM CAMPO,5793238,4675190
9133267,DUPLICIDADE DE MATRICULA,5793239,4675191
7461330,DUPLICIDADE DE MATRICULA,5793240,4675192
7360290,DUPLICIDADE DE MATRICULA,5793241,4675193
13063111,DUPLICIDADE DE MATRICULA,5793242,4675194
13230697,DUPLICIDADE DE MATRICULA,5793244,4675195
13230662,DUPLICIDADE DE MATRICULA,5793246,4675196
7172834,MATRICULA INEXISTENTE EM CAMPO,5793247,4675197
4480180,MATRICULA INEXISTENTE EM CAMPO,5793248,4675198
2111039,MATRICULA INEXISTENTE EM CAMPO,5793249,4675199
11790318,MATRICULA INEXISTENTE EM CAMPO,5793251,4675201
4484452,MATRICULA INEXISTENTE EM CAMPO,5793252,4675202
12325317,MATRICULA INEXISTENTE EM CAMPO,5793253,4675203
2137259,MATRICULA INEXISTENTE EM CAMPO,5793255,4675205
13263250,MATRICULA INEXISTENTE EM CAMPO,5793256,4675206
1687840,MATRICULA INEXISTENTE EM CAMPO,5793257,4675207
11278501,MATRICULA INEXISTENTE EM CAMPO,5793258,4675208
3632377,DUPLICIDADE DE MATRICULA,5793259,4675209
10614281,DUPLICIDADE DE MATRICULA,5793260,4675210
11303166,MATRICULA INEXISTENTE EM CAMPO,5793261,4675211
12705470,MATRICULA INEXISTENTE EM CAMPO,5793262,4675212
3672166,MATRICULA INEXISTENTE EM CAMPO,5793263,4675213
12312622,MATRICULA INEXISTENTE EM CAMPO,5793264,4675214
12951145,DUPLICIDADE DE MATRICULA,5793265,4675215
8988854,MATRICULA INEXISTENTE EM CAMPO,5793266,4675216
9954937,DUPLICIDADE DE MATRICULA,5793269,4675219
13457284,DUPLICIDADE DE MATRICULA,5793270,4675220
