MATRICULA,COORD. X,COORD. Y
273228,-2.5421998900000000,-44.2824300900000000
14479290,-2.5378799900000000,-44.2361537000000000
7383860,-2.5405462000000000,-44.2334089000000000
14628503,-2.4869523000000000,-44.2461454900000000
1215370,-2.5736074000000000,-44.2035118000000000
2593220,-2.5692542000000000,-44.1970524900000000
3040879,-2.4952987000000000,-44.2238339000000000
3107990,-2.4961942900000000,-44.2244275900000000
1281569,-2.5449826900000000,-44.2638792900000000
948705,-2.5086852900000000,-44.3068471900000000
13911406,-2.5677424000000000,-44.3079143000000000
5746,-2.5333361000000000,-44.3020605900000000
389935,-2.5354801900000000,-44.2597171900000000
4193318,-2.5302829000000000,-44.2576192000000000
2603926,-2.5834253900000000,-44.1936801000000000
11120932,-2.5489258900000000,-44.2635509900000000
375632,-2.5521950000000000,-44.2679915000000000
964166,-2.5587122900000000,-44.3315843900000000
8830665,-2.5320064000000000,-44.3055573900000000
1830,-2.5313960900000000,-44.3042867900000000
1907662,-2.5312969000000000,-44.3042573900000000
320145,-2.5406278000000000,-44.2733087000000000
238295,-2.5476047900000000,-44.2812192900000000
2149923,0,0
9048260,-2.5032342000000000,-44.2465618000000000
170135,-2.5278738900000000,-44.2866209000000000
170224,-2.5278779900000000,-44.2864149900000000
1314017,-2.5625222900000000,-44.2640831000000000
14702347,-2.5175404000000000,-44.2552058900000000
307866,-2.5397631900000000,-44.2651222000000000
158046,-2.5328411000000000,-44.2808131900000000
200212,-2.5400260900000000,-44.2852737900000000
273511,-2.5425567000000000,-44.2820610900000000
913340,-2.5163909000000000,-44.3020167000000000
3917754,-2.5100905900000000,-44.3060108000000000
923559,-2.5137768900000000,-44.2987692900000000
12901750,-2.5337776900000000,-44.3017775000000000
29394,-2.5302600000000000,-44.3009697000000000
886734,-2.4946131900000000,-44.2684343900000000
747246,-2.5698390900000000,-44.2346491900000000
46442,-2.5263830000000000,-44.2949613900000000
60453,-2.5277899900000000,-44.2906830000000000
0,0,0
108960,-2.5414878000000000,-44.2954975000000000
14762544,0,0
99848,-2.5395026900000000,-44.2914474900000000
14820943,0,0
14812720,0,0
14813882,0,0
276022,-2.5501681900000000,-44.2796775900000000
1692704,0,0
735159,-2.5271971900000000,-44.2224227900000000
14830140,0,0
13508199,-2.5188369900000000,-44.2690825000000000
14811600,0,0
14730340,0,0
1590219,-2.5577412900000000,-44.2434016900000000
1035029,-2.5547678900000000,-44.3220777000000000
1447327,-2.5629962000000000,-44.3206842000000000
976539,0,0
3299929,0,0
412120,-2.5349788000000000,-44.2497234000000000
642193,0,0
13436295,-2.5288151900000000,-44.3248764000000000
14689480,0,0
10633464,-2.5881351900000000,-44.1903538900000000
10775480,-2.5052701000000000,-44.2221459000000000
1028782,-2.5557701000000000,-44.3115474000000000
14814382,0,0
2025949,-2.5073875000000000,-44.3061028900000000
2159643,-2.5557650000000000,-44.2410732900000000
3159523,-2.5514399000000000,-44.2105679000000000
86894,-2.5396836000000000,-44.2930679900000000
14701847,-2.5377486000000000,-44.2891717900000000
11050799,0,0
3596800,0,0
849359,-2.5611472000000000,-44.2271307900000000
12763519,-2.5562444000000000,-44.2650651000000000
544710,-2.5440858900000000,-44.2508033000000000
3039668,-2.5682881000000000,-44.2425302900000000
3141896,-2.5677260900000000,-44.2330146900000000
1200186,-2.5808830900000000,-44.2021750900000000
4549325,-2.5898216000000000,-44.1945660000000000
10178090,-2.5456938000000000,-44.2879082900000000
1912046,-2.5446368900000000,-44.2878411000000000
735043,-2.5276125900000000,-44.2232346900000000
887277,-2.4933614900000000,-44.2658883000000000
918520,-2.5091154000000000,-44.3028708000000000
564001,-2.5408224900000000,-44.2588302900000000
1198190,-2.5803592000000000,-44.2017595000000000
1207385,-2.5763992000000000,-44.2043851900000000
2852616,-2.5781203900000000,-44.1974508900000000
337188,-2.5443421000000000,-44.2691244900000000
12902365,-2.5676899900000000,-44.2050242900000000
729000,-2.5132180000000000,-44.2179623900000000
1054210,-2.5399674900000000,-44.2151697900000000
549606,-2.5424028000000000,-44.2528064900000000
307424,-2.5405079000000000,-44.2641690900000000
492523,-2.5467905000000000,-44.2654840000000000
1930010,-2.4871663900000000,-44.2417159000000000
0,0,0
